РЦ Транзитный,РЦ Географический,Код ТП,Наименование ТП,Тип склада,Формат для диаграмм,Целевая ЦП,Действующая ЦП,СТМ,Признак объемности,Локальность,"отгрузки по РЦ-ТП сред знач за 3 мес, пал","отгрузки по ТРЦ-ТП сред знач за 3 мес, пал"
РЦ Самара (а),РЦ ПД Тольятти,808371,SKU_049091,Основной склад,ТД,ПД,ФРЦ,Нет,-,-,1.38,1.38
РЦ Самара (а),РЦ ПД Энгельс,154042,SKU_016237,Охлажденка,МИКС,МП,МП,Нет,-,-,0.87,0.95
РЦ Самара (а),РЦ ПД Энгельс,779773,SKU_028222,5-я камера,МК,ПД,ПД,Нет,-,-,10.38,13.11
РЦ Самара (а),РЦ ПД Тольятти,798208,SKU_012650,Охлажденка,МИКС,Федеральный пулинг,Федеральный пулинг,Нет,-,-,0.88,0.89
РЦ Самара (а),РЦ ПД Тольятти,684825,SKU_026051,Заморозка,БФ,ТРЦ PBL,ТРЦ PBL,Нет,-,-,0.05,0.07
РЦ Самара (а),РЦ ПД Тольятти,550581,SKU_022003,Основной склад,ФД,МП,МП,Нет,-,-,10.94,11.39
РЦ Самара (а),РЦ ПД Энгельс,183786,SKU_039117,5-я камера,ФД,ФРЦ,ФРЦ,Нет,-,-,3.21,4.27
РЦ Самара (а),РЦ ПД Пенза,245732,SKU_010424,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,20.38,22.23
РЦ Самара (а),РЦ ПД Энгельс,973702,SKU_010300,Охлажденка,МИКС,ТРЦ,ТРЦ,Нет,-,-,0.29,0.35
РЦ Самара (а),РЦ ПД Зеленодольск,908139,SKU_024302,Основной склад,МК,ПД,ПД,Да,-,-,0.65,0.86
РЦ Самара (а),РЦ ПД Зеленодольск,916053,SKU_024196,5-я камера,МД,ФРЦ,ФРЦ,Нет,-,-,8.35,10.37
РЦ Самара (а),РЦ ПД Тольятти,751084,SKU_012491,Заморозка,МИКС,ПД,ПД,Нет,+,-,14.17,19.81
РЦ Самара (а),РЦ ПД Пенза,597428,SKU_037398,Основной склад,ФД,ПД,ПД,Нет,-,Локал.,9.83,11.56
РЦ Самара (а),РЦ ПД Энгельс,866570,SKU_014535,Заморозка,МД,Федеральный пулинг,Федеральный пулинг,Нет,+,-,2.2,2.99
РЦ Самара (а),РЦ ПД Киров,330736,SKU_016239,Основной склад,ФД,ТРЦ,ФРЦ,Нет,-,-,0.63,0.66
РЦ Самара (а),РЦ ПД Киров,192707,SKU_020751,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,3.1,3.65
РЦ Самара (а),РЦ ПД Тольятти,909594,SKU_012479,Основной склад,МД,ПД,ПД,Нет,+,-,9.06,9.54
РЦ Самара (а),РЦ ПД Пенза,914502,SKU_030395,Основной склад,МК,ПД,ПД,Нет,-,-,1.17,1.48
РЦ Самара (а),РЦ ПД Пенза,379680,SKU_007186,Основной склад,МД,ПД,ПД,Нет,-,-,0.5,0.63
РЦ Самара (а),РЦ ПД Тольятти,354640,SKU_025061,Охлажденка,МИКС,ФРЦ,ФРЦ,Нет,-,-,0.92,1.07
РЦ Самара (а),РЦ ПД Тольятти,673799,SKU_023222,Основной склад,МД,МП,МП,Нет,-,-,6.85,8.76
РЦ Самара (а),РЦ ПД Тольятти,591737,SKU_028073,Основной склад,МК,ТРЦ,ТРЦ,Нет,-,-,0.27,0.3
РЦ Самара (а),РЦ ПД Пенза,236313,SKU_021837,Основной склад,МД,ПД,ПД,Нет,-,-,17.89,20.74
РЦ Самара (а),РЦ ПД Киров,491055,SKU_003343,Охлажденка,МД,ПД,ФРЦ,Нет,-,-,7.48,9.21
РЦ Самара (а),РЦ ПД Тольятти,446845,SKU_026568,Основной склад,МД,ПД,ФРЦ,Да,-,-,7.13,8.74
РЦ Самара (а),РЦ ПД Киров,604670,SKU_022232,Основной склад,МД,ПД,ПД,Нет,+,-,3.14,3.83
РЦ Самара (а),РЦ ПД Тольятти,116854,SKU_018001,5-я камера,ТД,ПД,ПД,Нет,-,-,0.28,0.35
РЦ Самара (а),РЦ ПД Энгельс,505166,SKU_027732,Основной склад,МК,ТРЦ,ТРЦ,Нет,-,-,3.12,3.4
РЦ Самара (а),РЦ ПД Зеленодольск,703597,SKU_044584,Основной склад,МК,Федеральный пулинг,Федеральный пулинг,Нет,+,-,8.26,8.96
РЦ Самара (а),РЦ ПД Тольятти,241991,SKU_030079,Основной склад,ФД,ПД,ПД,Нет,-,-,27.73,36.2
РЦ Самара (а),РЦ ПД Киров,388008,SKU_044706,Основной склад,МК,ТРЦ,МП,Да,-,-,1.7,2.16
РЦ Самара (а),РЦ ПД Тольятти,146611,SKU_027391,Основной склад,МД,ПД,ПД,Нет,+,-,0.73,0.85
РЦ Самара (а),РЦ ПД Зеленодольск,988255,SKU_049278,Основной склад,БФ,ПД,ПД,Нет,-,Регион.,5.06,5.09
РЦ Самара (а),РЦ ПД Тольятти,608692,SKU_045466,Охлажденка,МИКС,ТРЦ PBL,ПД,Нет,-,-,2.93,3.56
РЦ Самара (а),РЦ ПД Киров,327658,SKU_045000,Основной склад,МД,ПД,ПД,Нет,-,-,17.88,20.32
РЦ Самара (а),РЦ ПД Пенза,866321,SKU_018501,Заморозка,МД,ПД,ПД,Нет,-,-,7.43,10.23
РЦ Самара (а),РЦ ПД Тольятти,547472,SKU_005601,Охлажденка,МК,ПД,ПД,Нет,-,-,5.74,7.87
РЦ Самара (а),РЦ ПД Энгельс,608094,SKU_002672,5-я камера,МК,ПД,ПД,Нет,-,-,7.98,8.69
РЦ Самара (а),РЦ ПД Киров,836230,SKU_004287,Основной склад,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,2.78,2.85
РЦ Самара (а),РЦ ПД Пенза,634461,SKU_029929,Основной склад,МИКС,ПД,ПД,Нет,-,-,0.47,0.55
РЦ Самара (а),РЦ ПД Тольятти,321492,SKU_013100,Пресервы,МД,ПД,ФРЦ,Нет,-,-,2.49,2.6
РЦ Самара (а),РЦ ПД Пенза,108642,SKU_033342,Охлажденка,МД,ПД,ПД,Да,-,-,0.8,1.09
РЦ Самара (а),РЦ ПД Пенза,651520,SKU_019145,Основной склад,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,3.3,4.25
РЦ Самара (а),РЦ ПД Пенза,533842,SKU_035288,Основной склад,ФД,ПД,ПД,Нет,-,-,5.87,7.94
РЦ Самара (а),РЦ ПД Киров,243178,SKU_010052,Охлажденка,МК,ПД,ПД,Нет,-,-,18.32,22.4
РЦ Самара (а),РЦ ПД Пенза,136269,SKU_032280,Основной склад,МИКС,ПД,ПД,Да,-,-,1.1,1.25
РЦ Самара (а),РЦ ПД Энгельс,581810,SKU_043499,Основной склад,МК,ПД,ПД,Нет,-,-,2.61,2.91
РЦ Самара (а),РЦ ПД Энгельс,586536,SKU_048800,Основной склад,МИКС,ПД,ПД,Нет,-,-,0.43,0.59
РЦ Самара (а),РЦ ПД Зеленодольск,949220,SKU_026073,Основной склад,МИКС,ПД,ПД,Да,-,-,0.91,1.22
РЦ Самара (а),РЦ ПД Зеленодольск,411855,SKU_038624,Основной склад,МД,ПД,ПД,Нет,-,-,6.02,7.73
РЦ Самара (а),РЦ ПД Энгельс,254366,SKU_007956,Основной склад,ТД,ТРЦ,ТРЦ,Нет,-,-,0.52,0.61
РЦ Самара (а),РЦ ПД Тольятти,598667,SKU_002149,Пресервы,МД,ПД,ПД,Нет,-,-,3.2,4.37
РЦ Подольск (а),РЦ ПД Подольск,134368,SKU_031602,Основной склад,МД,ФРЦ,ПД,Нет,-,-,0.48,0.57
РЦ Самара (а),РЦ ПД Пенза,446260,SKU_036106,Основной склад,ФД,ТРЦ,ТРЦ,Нет,-,-,1.27,1.68
РЦ Самара (а),РЦ ПД Зеленодольск,653237,SKU_001108,Основной склад,МК,ФРЦ,ФРЦ,Нет,-,-,1.85,2.03
РЦ Самара (а),РЦ ПД Зеленодольск,495714,SKU_025525,Заморозка,МД,ПД,ФРЦ,Нет,-,-,5.82,7.49
РЦ Подольск (а),РЦ ПД Подольск,767647,SKU_027204,Охлажденка,МД,ПД,ПД,Нет,-,-,60.37,75.6
РЦ Самара (а),РЦ ПД Киров,902715,SKU_032984,Заморозка,БФ,ФРЦ,ФРЦ,Нет,-,-,0.99,1.38
РЦ Самара (а),РЦ ПД Тольятти,788574,SKU_036814,Основной склад,БФ,ПД,ПД,Нет,-,-,6.72,8.08
РЦ Самара (а),РЦ ПД Зеленодольск,793496,SKU_017579,Основной склад,БФ,ТРЦ,ТРЦ,Нет,-,-,2.15,2.93
РЦ Самара (а),РЦ ПД Пенза,285482,SKU_000366,5-я камера,МД,ТРЦ,ТРЦ,Да,-,-,2.71,2.9
РЦ Самара (а),РЦ ПД Зеленодольск,564007,SKU_042761,Основной склад,МД,ТРЦ,ТРЦ,Да,-,-,0.73,0.92
РЦ Самара (а),РЦ ПД Киров,456480,SKU_044821,Основной склад,МД,ПД,ПД,Нет,+,Локал.,0.83,0.93
РЦ Самара (а),РЦ ПД Пенза,798159,SKU_036302,Пресервы,ФД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,8.67,11.48
РЦ Самара (а),РЦ ПД Зеленодольск,692146,SKU_018105,Основной склад,БФ,ПД,ПД,Нет,-,-,0.87,1.06
РЦ Самара (а),РЦ ПД Пенза,259108,SKU_048422,Основной склад,МИКС,МП,МП,Нет,-,-,0.46,0.54
РЦ Самара (а),РЦ ПД Пенза,520455,SKU_029058,Основной склад,ФД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,5.38,6.7
РЦ Самара (а),РЦ ПД Тольятти,837780,SKU_004180,Основной склад,МД,ПД,ТРЦ,Нет,-,-,2.04,2.23
РЦ Самара (а),РЦ ПД Зеленодольск,382302,SKU_029516,Заморозка,МД,ТРЦ,ТРЦ,Нет,-,-,2.46,3.06
РЦ Самара (а),РЦ ПД Киров,109606,SKU_034821,Основной склад,ФД,ПД,ПД,Нет,-,-,0.51,0.55
РЦ Самара (а),РЦ ПД Пенза,526187,SKU_033959,Заморозка,МД,ПД,ПД,Нет,-,-,0.21,0.28
РЦ Самара (а),РЦ ПД Зеленодольск,599068,SKU_026371,Охлажденка,МИКС,ТРЦ,ТРЦ,Нет,-,-,0.12,0.15
РЦ Самара (а),РЦ ПД Киров,595614,SKU_033369,Охлажденка,МК,Федеральный пулинг,Федеральный пулинг,Нет,-,-,11.17,11.57
РЦ Самара (а),РЦ ПД Пенза,105552,SKU_026802,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,Локал.,1.15,1.53
РЦ Самара (а),РЦ ПД Энгельс,745806,SKU_034392,Основной склад,МИКС,ПД,ФРЦ,Нет,-,-,2.01,2.51
РЦ Самара (а),РЦ ПД Зеленодольск,542185,SKU_006847,Пресервы,БФ,ПД,ПД,Нет,-,-,4.6,6.41
РЦ Самара (а),РЦ ПД Тольятти,810731,SKU_015011,5-я камера,БФ,ФРЦ,ФРЦ,Да,-,-,2.13,2.41
РЦ Самара (а),РЦ ПД Зеленодольск,506502,SKU_032707,Заморозка,МК,ФРЦ,ПД,Да,-,-,3.68,3.77
РЦ Самара (а),РЦ ПД Зеленодольск,269664,SKU_042535,Основной склад,БФ,ФРЦ,ФРЦ,Нет,-,-,0.47,0.62
РЦ Самара (а),РЦ ПД Энгельс,618292,SKU_014874,Основной склад,МК,ПД,ПД,Нет,-,-,0.11,0.14
РЦ Самара (а),РЦ ПД Тольятти,973110,SKU_040826,Заморозка,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,1.09,1.19
РЦ Самара (а),РЦ ПД Пенза,388705,SKU_022125,Заморозка,МД,ФРЦ,ФРЦ,Нет,-,-,1.83,2.05
РЦ Самара (а),РЦ ПД Зеленодольск,253676,SKU_029921,Основной склад,ФД,ПД,ПД,Нет,+,-,7.17,9.23
РЦ Самара (а),РЦ ПД Энгельс,949615,SKU_009457,Основной склад,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,54.54,73.88
РЦ Самара (а),РЦ ПД Киров,701963,SKU_012712,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,2.67,3.03
РЦ Самара (а),РЦ ПД Тольятти,647098,SKU_020803,Охлажденка,БФ,ФРЦ,ФРЦ,Нет,-,-,1.18,1.22
РЦ Самара (а),РЦ ПД Киров,232316,SKU_015762,Заморозка,БФ,ПД,ТРЦ,Нет,-,Локал.,0.55,0.59
РЦ Самара (а),РЦ ПД Энгельс,955202,SKU_018932,Основной склад,МК,МП,МП,Нет,-,-,0.39,0.44
РЦ Самара (а),РЦ ПД Энгельс,426635,SKU_042769,Основной склад,ТД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,1.38,1.41
РЦ Подольск (а),РЦ ПД Подольск,601609,SKU_018690,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,10.56,12.53
РЦ Самара (а),РЦ ПД Тольятти,656653,SKU_039156,Заморозка,ФД,МП,МП,Нет,-,-,1.24,1.34
РЦ Самара (а),РЦ ПД Энгельс,809465,SKU_036930,Основной склад,ТД,ПД,ПД,Нет,-,-,0.3,0.4
РЦ Самара (а),РЦ ПД Зеленодольск,737081,SKU_037565,Основной склад,МД,ТРЦ PBL,ФРЦ,Нет,-,-,0.06,0.07
РЦ Самара (а),РЦ ПД Киров,324406,SKU_038624,Заморозка,МД,ПД,ПД,Нет,-,-,0.67,0.79
РЦ Самара (а),РЦ ПД Зеленодольск,154012,SKU_033389,Основной склад,ФД,ПД,ПД,Нет,-,-,1.19,1.48
РЦ Самара (а),РЦ ПД Тольятти,369944,SKU_044531,Основной склад,МК,ФРЦ,ФРЦ,Нет,-,Регион.,5.84,6.67
РЦ Самара (а),РЦ ПД Энгельс,962027,SKU_039241,Основной склад,БФ,ПД,ПД,Нет,-,-,7.8,9.13
РЦ Самара (а),РЦ ПД Энгельс,274462,SKU_023208,Основной склад,МК,ПД,ПД,Да,-,-,5.45,5.7
РЦ Самара (а),РЦ ПД Зеленодольск,903804,SKU_016004,Охлажденка,МД,МП,МП,Нет,-,-,1.54,1.91
РЦ Самара (а),РЦ ПД Энгельс,446253,SKU_034034,5-я камера,ФД,МП,МП,Нет,-,-,0.34,0.41
РЦ Самара (а),РЦ ПД Пенза,385062,SKU_018401,Охлажденка,ФД,ТРЦ,ТРЦ,Нет,-,-,0.83,0.91
РЦ Самара (а),РЦ ПД Энгельс,275816,SKU_027232,Основной склад,БФ,ФРЦ,ФРЦ,Нет,-,-,0.39,0.39
РЦ Самара (а),РЦ ПД Зеленодольск,724348,SKU_006593,Основной склад,БФ,ПД,ПД,Да,-,-,6.49,7.07
РЦ Самара (а),РЦ ПД Тольятти,263740,SKU_007259,Заморозка,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,0.55,0.68
РЦ Самара (а),РЦ ПД Тольятти,889843,SKU_008806,Пресервы,МИКС,ПД,ПД,Нет,-,-,0.61,0.78
РЦ Самара (а),РЦ ПД Энгельс,479970,SKU_004527,Охлажденка,МД,ФРЦ,ФРЦ,Да,-,-,3.01,3.25
РЦ Самара (а),РЦ ПД Киров,337862,SKU_011685,Основной склад,ТД,ПД,ПД,Нет,-,-,0.2,0.28
РЦ Самара (а),РЦ ПД Пенза,639987,SKU_046524,Основной склад,МК,ПД,ПД,Нет,-,-,4.99,5.62
РЦ Самара (а),РЦ ПД Зеленодольск,504472,SKU_049804,Основной склад,МИКС,ПД,ПД,Нет,-,-,0.73,0.87
РЦ Самара (а),РЦ ПД Тольятти,934608,SKU_016158,Пресервы,МД,ТРЦ,ТРЦ,Нет,-,-,1.07,1.21
РЦ Самара (а),РЦ ПД Киров,546335,SKU_039608,Основной склад,МИКС,МП,МП,Нет,-,-,1.26,1.41
РЦ Самара (а),РЦ ПД Киров,351725,SKU_013358,Основной склад,ФД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,80.5,102.95
РЦ Самара (а),РЦ ПД Зеленодольск,733203,SKU_040249,Основной склад,МК,ПД,ПД,Нет,-,-,2.75,3.57
РЦ Самара (а),РЦ ПД Энгельс,386355,SKU_027779,Основной склад,ТД,ТРЦ,ПД,Нет,-,-,2.3,3.22
РЦ Самара (а),РЦ ПД Энгельс,541917,SKU_034814,Заморозка,МД,МП,МП,Нет,-,-,0.23,0.26
РЦ Самара (а),РЦ ПД Тольятти,780077,SKU_024753,Основной склад,МК,ПД,ПД,Нет,+,-,21.21,24.31
РЦ Самара (а),РЦ ПД Пенза,967199,SKU_014225,5-я камера,МК,ТРЦ,ТРЦ,Нет,-,-,6.71,8.99
РЦ Самара (а),РЦ ПД Зеленодольск,297620,SKU_018769,Охлажденка,БФ,ТРЦ PBL,ТРЦ PBL,Нет,-,-,1.42,1.94
РЦ Самара (а),РЦ ПД Энгельс,731306,SKU_004497,Заморозка,МИКС,ФРЦ,ФРЦ,Нет,-,-,13.89,15.9
РЦ Самара (а),РЦ ПД Тольятти,157612,SKU_002434,Пресервы,МИКС,ТРЦ,ТРЦ,Да,+,-,0.41,0.45
РЦ Самара (а),РЦ ПД Энгельс,787785,SKU_010490,Основной склад,ФД,МП,МП,Нет,-,-,0.44,0.54
РЦ Самара (а),РЦ ПД Пенза,596032,SKU_026155,Основной склад,МД,ПД,ПД,Нет,-,-,0.42,0.53
РЦ Подольск (а),РЦ ПД Тула,703418,SKU_024126,Основной склад,МД,ПД,ПД,Нет,+,-,15.4,18.63
РЦ Самара (а),РЦ ПД Энгельс,920365,SKU_008698,Основной склад,МИКС,ТРЦ,ТРЦ,Нет,-,-,2.92,3.13
РЦ Самара (а),РЦ ПД Энгельс,651841,SKU_021176,Пресервы,МК,ПД,ПД,Нет,-,-,3.18,3.62
РЦ Самара (а),РЦ ПД Энгельс,892596,SKU_047042,Основной склад,МИКС,МП,МП,Нет,-,-,4.79,5.05
РЦ Самара (а),РЦ ПД Тольятти,167909,SKU_024911,Основной склад,МД,ПД,ПД,Да,-,-,1.22,1.43
РЦ Самара (а),РЦ ПД Энгельс,345410,SKU_041042,Охлажденка,МД,ФРЦ,ТРЦ PBL,Нет,-,Локал.,9.51,12.71
РЦ Самара (а),РЦ ПД Пенза,946659,SKU_005918,Заморозка,МД,ТРЦ PBL,ПД,Нет,-,-,0.24,0.33
РЦ Самара (а),РЦ ПД Тольятти,433046,SKU_042307,Заморозка,МК,ТРЦ,ТРЦ,Нет,-,-,2.71,2.84
РЦ Ивантеевка (а),РЦ ПД Тверь,495902,SKU_000295,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,1.59,1.82
РЦ Самара (а),РЦ ПД Зеленодольск,974520,SKU_004937,Охлажденка,МД,ПД,ПД,Нет,-,-,2.29,2.3
РЦ Самара (а),РЦ ПД Киров,659551,SKU_005871,Охлажденка,МК,ПД,ПД,Нет,-,Регион.,0.14,0.14
РЦ Самара (а),РЦ ПД Киров,583446,SKU_006222,Заморозка,МД,ФРЦ,ФРЦ,Нет,-,-,7.55,9.91
РЦ Самара (а),РЦ ПД Зеленодольск,299999,SKU_011803,Основной склад,МД,ПД,ПД,Нет,-,-,1.64,2.1
РЦ Самара (а),РЦ ПД Пенза,784694,SKU_031549,Основной склад,МД,ПД,ПД,Нет,-,-,2.07,2.33
РЦ Самара (а),РЦ ПД Тольятти,576591,SKU_019399,Заморозка,МК,ПД,ПД,Да,-,-,1.41,1.7
РЦ Самара (а),РЦ ПД Киров,571185,SKU_049114,Заморозка,МД,ТРЦ,ТРЦ,Нет,-,Локал.,5.77,5.79
РЦ Самара (а),РЦ ПД Киров,544392,SKU_023170,Заморозка,МД,ТРЦ,ТРЦ,Нет,-,-,0.18,0.2
РЦ Самара (а),РЦ ПД Тольятти,947412,SKU_046254,Охлажденка,МИКС,ФРЦ,ФРЦ,Нет,-,-,0.11,0.13
РЦ Самара (а),РЦ ПД Зеленодольск,679685,SKU_005507,Основной склад,МД,ПД,ПД,Нет,-,-,0.49,0.66
РЦ Самара (а),РЦ ПД Тольятти,784229,SKU_043931,Охлажденка,МК,ПД,МП,Нет,-,-,0.05,0.06
РЦ Самара (а),РЦ ПД Энгельс,740766,SKU_010163,Основной склад,МК,ФРЦ,ФРЦ,Нет,+,-,1.73,2.38
РЦ Самара (а),РЦ ПД Пенза,674589,SKU_044377,Охлажденка,МД,ПД,ПД,Да,-,-,1.17,1.35
РЦ Самара (а),РЦ ПД Киров,125394,SKU_028473,Основной склад,ТД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,8.4,11.18
РЦ Самара (а),РЦ ПД Тольятти,979188,SKU_042848,Основной склад,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,0.22,0.27
РЦ Самара (а),РЦ ПД Тольятти,678429,SKU_033947,Охлажденка,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,8.76,11.73
РЦ Самара (а),РЦ ПД Киров,398084,SKU_049206,Заморозка,МД,ТРЦ,ТРЦ,Нет,-,-,0.52,0.64
